iter	MAPE
0	0.1018948873
1	0.09429748869
2	0.08585194913
3	0.07861147569
4	0.07318538203
5	0.06712775061
6	0.06172677154
7	0.05661639618
8	0.05112446433
9	0.04634436471
10	0.04200717659
11	0.03812274474
12	0.03449730377
13	0.03134612343
14	0.02910918665
15	0.02656304934
16	0.02426566094
17	0.02209533016
18	0.02044583715
19	0.01880793978
20	0.01750603885
21	0.01624033096
22	0.01502694104
23	0.01394424259
24	0.01296747291
25	0.01218875703
26	0.01155432232
27	0.01093236239
28	0.01035062584
29	0.009916638697
30	0.009448265627
31	0.009022405543
32	0.00870912686
33	0.008395969787
34	0.008125868413
35	0.007898856855
36	0.007692790735
37	0.007525513953
38	0.007386959298
39	0.007232732234
40	0.007127845325
41	0.007020653473
42	0.006925154129
43	0.00678390801
44	0.006697557592
45	0.006612373852
46	0.006525325097
47	0.006438694003
48	0.006393136215
49	0.006329866162
50	0.00628542326
51	0.006225022707
52	0.006140393251
53	0.006063826007
54	0.006025313231
55	0.005961315413
56	0.005944915019
57	0.005900875727
58	0.005850941029
59	0.005801570436
60	0.005782523875
61	0.005721216168
62	0.005662811533
63	0.00562653872
64	0.005604489124
65	0.005578305897
66	0.005530350744
67	0.005497893895
68	0.00545889257
69	0.005436958932
70	0.005354664104
71	0.005339313386
72	0.005294190243
73	0.005267507599
74	0.005257368975
75	0.005208940479
76	0.005187102585
77	0.005140652443
78	0.005077173616
79	0.005064650244
80	0.005038026839
81	0.005016889354
82	0.004976557214
83	0.004924040897
84	0.00487903935
85	0.004851225189
86	0.004824819042
87	0.004807669327
88	0.004799494034
89	0.004777113079
90	0.004759677236
91	0.004743922988
92	0.004699233245
93	0.004689759261
94	0.004645008739
95	0.004608969556
96	0.004581304651
97	0.004572689266
98	0.004543816546
99	0.004512288951
100	0.004477108052
101	0.004460708687
102	0.004428582176
103	0.00439055093
104	0.004344636428
105	0.004301152006
106	0.004277553624
107	0.004251666751
108	0.004238519057
109	0.004233133204
110	0.00422052466
111	0.004217379642
112	0.004156992617
113	0.004121934735
114	0.004113755064
115	0.004098666384
116	0.004077110099
117	0.004069119018
118	0.004053617359
119	0.004022777553
120	0.004011298474
121	0.003971902167
122	0.003956894893
123	0.003939781017
124	0.003927098928
125	0.003913565817
126	0.003878201192
127	0.003865309025
128	0.003839490174
129	0.003826223614
130	0.00382434385
131	0.003821764932
132	0.003819029922
133	0.003802524953
134	0.003777575555
135	0.003771089331
136	0.003768801346
137	0.003759600097
138	0.00375740282
139	0.003746448049
140	0.003719703684
141	0.003693103329
142	0.003687152264
143	0.003678050688
144	0.003672354919
145	0.003669531934
146	0.003666027197
147	0.003656654964
148	0.003639540365
149	0.003622833084
150	0.003621480957
151	0.003614184116
152	0.00359907704
153	0.003595325845
154	0.003585535171
155	0.003567045671
156	0.00355929768
157	0.003553002227
158	0.003505533344
159	0.003494590421
160	0.00346021391
161	0.00342429495
162	0.003416442794
163	0.003403252241
164	0.003398356254
165	0.003379820025
166	0.003366307739
167	0.003358417093
168	0.003337233793
169	0.003307191179
170	0.003294679415
171	0.003288640754
172	0.003275440104
173	0.003249906493
174	0.00322878382
175	0.003223843903
176	0.003207041334
177	0.003201119447
178	0.003189134011
179	0.003181967783
180	0.00316186391
181	0.00314724935
182	0.003112189031
183	0.003102570033
184	0.003092354159
185	0.003086371438
186	0.003077850294
187	0.003061358916
188	0.003058224917
189	0.003049648501
190	0.003047275417
191	0.003045326755
192	0.003041509191
193	0.003023292934
194	0.003006724542
195	0.003000045507
196	0.002998976024
197	0.002986204709
198	0.002985493729
199	0.002976752444
